,Content,Location,Username,Retweet-Count,Favorites,Created at
84,"What about all those people crossing the border! 
#BidenLied 
#DementiaJoe 
@POTUS went home on Monday!
#BidenBorderCrisis he doesn't care??? #sickleave ??? https://t.co/ZBmeokFYK2",,Jaynianderson1,0,1,2021-03-29 22:15:24
85,"#VaccinePassports 
#TheyLive
They are the virus
#BidenLied https://t.co/KxXGFZWqW6",Penthouse,Angeles01250775,1,2,2021-03-29 22:03:50
86,@Dru415 @RosannaXia We have moved on but the facts don’t change that Biden was no way elected in a free and fair election. Sorry! #BidenLied #BidenBorderCrisis,,Maxidimnd,0,0,2021-03-29 21:55:11
87,"@PissOffTrumpz Yawn......

#BidenLied 
#BidenIsWeak",,Patriot4USA3,0,0,2021-03-29 21:30:49
88,"U know this is about votes! Imbecile #joebiden &amp; his ilk of anti-US filth are responsible the it &amp; the consequences, particularly welfare for all aliens, are of total indifference to them. That won't change. #tcot #tlot #bidenlied #conservatives #wakeupamerica @TuckerCarlson https://t.co/EDdCWvOnNU",,Bozieg1,0,0,2021-03-29 21:27:34
89,Biden is gonna reap a lot more than trouble at the border. #BidenBorderCrisis #BidenErasedWomen #BidenLied https://t.co/g2snmALwBB,Cincinnati OH,jiggaz31,1,2,2021-03-29 21:25:01
90,@POTUS You didn't promise eligible you said vaccinated idiot!!! #BidenLied #BidenCrimeFamilly #BidenRiots #BidenErasedWomen #BidenCheated2020,,RubberD63162804,0,0,2021-03-29 21:17:47
91,"I give him an ""F"" for overall performance as does 71% of ""real America"" ! #BidenBorderCrisis 
#BidenLied 
#DementiaJoe 
#Notmygun 
#whatajoke https://t.co/M488o4NjMb",,Jaynianderson1,1,2,2021-03-29 20:57:02
92,"@ghw69 @catturd2 Mmmmm, how’s #JoeBiden’s cure for the big “C” going? Serious answers only 😆😆😆 just kidding. #Cancer #BidenLied https://t.co/1qOBsAwTmK",United States,TruthsOverLiars,0,0,2021-03-29 20:51:57
93,@PhuckSea @TheLtngHunter @ShawnDa64178802 @pokemaniac769 @AyannaPressley whaaat?? how much you drank bruh  #BidenBorderCrisis #BidenLied #KidsInCages #HumanRightsViolations #DemocratsTheEnemyWithin #bidendown,where the sheep are,whataboutyas,0,1,2021-03-29 20:43:41
